fold,run,eta,h1,h2,mse_te
3,18,0.0001,4.0,4.0,9.965946953804181
3,19,0.0001,4.0,4.0,10.283353537794088
3,20,0.0001,4.0,4.0,9.929605909150538
3,21,0.0001,4.0,4.0,10.202950651958211
3,22,0.0001,4.0,4.0,9.915263146521278
3,23,0.0001,4.0,4.0,10.144296692117626
3,24,0.0001,4.0,4.0,9.912546612947258
3,25,0.0001,4.0,4.0,10.101306819249144
3,26,0.0001,4.0,4.0,9.915637703062465
4,0,0.0001,4.0,4.0,34.59439234658092
4,1,0.0001,4.0,4.0,12.120775783410147
4,2,0.0001,4.0,4.0,15.789657484783758
4,3,0.0001,4.0,4.0,12.667103397665885
4,4,0.0001,4.0,4.0,19.757803618049042
4,5,0.0001,4.0,4.0,13.373716338812935
4,6,0.0001,4.0,4.0,26.875791667867905
4,7,0.0001,4.0,4.0,12.358980358697474
4,8,0.0001,4.0,4.0,22.425916016727893
4,9,0.0001,4.0,4.0,11.306469131776979
4,10,0.0001,4.0,4.0,12.237556512906817
4,11,0.0001,4.0,4.0,11.305917259329595
4,12,0.0001,4.0,4.0,12.225180705340374
4,13,0.0001,4.0,4.0,11.299652630990607
4,14,0.0001,4.0,4.0,12.193128870447815
4,15,0.0001,4.0,4.0,11.290295799581674
4,16,0.0001,4.0,4.0,12.150288060909203
4,17,0.0001,4.0,4.0,11.279476300274382
4,18,0.0001,4.0,4.0,12.101742168000563
4,19,0.0001,4.0,4.0,11.26808617994498
4,20,0.0001,4.0,4.0,12.050134969489362
4,21,0.0001,4.0,4.0,11.256603591747735
4,22,0.0001,4.0,4.0,11.996857048046484
4,23,0.0001,4.0,4.0,11.245317144716203
4,24,0.0001,4.0,4.0,11.942780921264843
4,25,0.0001,4.0,4.0,11.2344467480048
4,26,0.0001,4.0,4.0,11.888630123466251
5,0,0.0001,4.0,4.0,30.38246116990275
5,1,0.0001,4.0,4.0,10.096472106637714
5,2,0.0001,4.0,4.0,10.034901193722774
5,3,0.0001,4.0,4.0,10.0096309385953
5,4,0.0001,4.0,4.0,9.948647845937026
5,5,0.0001,4.0,4.0,9.95794081818255
5,6,0.0001,4.0,4.0,9.89962941097743
5,7,0.0001,4.0,4.0,9.928353178430086
5,8,0.0001,4.0,4.0,9.874174108733726
5,9,0.0001,4.0,4.0,9.914516720397332
5,10,0.0001,4.0,4.0,9.865967446045143
5,11,0.0001,4.0,4.0,9.913379645462205
