fold,run,eta,h1,h2,ce_te,acc_te
4,9,0.1,6.0,4.0,,0.0
4,10,0.1,6.0,4.0,,0.0
4,11,0.1,6.0,4.0,,0.0
4,12,0.1,6.0,4.0,,0.0
4,13,0.1,6.0,4.0,,0.0
4,14,0.1,6.0,4.0,,0.0
4,15,0.1,6.0,4.0,,0.0
4,16,0.1,6.0,4.0,,0.0
4,17,0.1,6.0,4.0,,0.0
4,18,0.1,6.0,4.0,,0.0
4,19,0.1,6.0,4.0,,0.0
4,20,0.1,6.0,4.0,,0.0
4,21,0.1,6.0,4.0,,0.0
4,22,0.1,6.0,4.0,,0.0
4,23,0.1,6.0,4.0,,0.0
4,24,0.1,6.0,4.0,,0.0
4,25,0.1,6.0,4.0,,0.0
4,26,0.1,6.0,4.0,,0.0
4,27,0.1,6.0,4.0,,0.0
4,28,0.1,6.0,4.0,,0.0
4,29,0.1,6.0,4.0,,0.0
4,30,0.1,6.0,4.0,,0.0
4,31,0.1,6.0,4.0,,0.0
4,32,0.1,6.0,4.0,,0.0
5,0,0.1,6.0,4.0,,0.0
5,1,0.1,6.0,4.0,,0.0
5,2,0.1,6.0,4.0,,0.0
5,3,0.1,6.0,4.0,,0.0
5,4,0.1,6.0,4.0,,0.0
5,5,0.1,6.0,4.0,,0.0
5,6,0.1,6.0,4.0,,0.0
5,7,0.1,6.0,4.0,,0.0
5,8,0.1,6.0,4.0,,0.0
5,9,0.1,6.0,4.0,,0.0
5,10,0.1,6.0,4.0,,0.0
5,11,0.1,6.0,4.0,,0.0
5,12,0.1,6.0,4.0,,0.0
5,13,0.1,6.0,4.0,,0.0
5,14,0.1,6.0,4.0,,0.0
5,15,0.1,6.0,4.0,,0.0
5,16,0.1,6.0,4.0,,0.0
5,17,0.1,6.0,4.0,,0.0
5,18,0.1,6.0,4.0,,0.0
5,19,0.1,6.0,4.0,,0.0
5,20,0.1,6.0,4.0,,0.0
5,21,0.1,6.0,4.0,,0.0
5,22,0.1,6.0,4.0,,0.0
5,23,0.1,6.0,4.0,,0.0
5,24,0.1,6.0,4.0,,0.0
5,25,0.1,6.0,4.0,,0.0
5,26,0.1,6.0,4.0,,0.0
5,27,0.1,6.0,4.0,,0.0
5,28,0.1,6.0,4.0,,0.0
5,29,0.1,6.0,4.0,,0.0
5,30,0.1,6.0,4.0,,0.0
5,31,0.1,6.0,4.0,,0.0
5,32,0.1,6.0,4.0,,0.0
